,Date,Players,Game,Scores,Winner,Version,MA_score,MA_winner,MA_played,C_score,C_winner,C_played,M_score,M_winner,M_played,WO_score,WO_winner,WO_played,DA_score,DA_winner,DA_played,PA_score,PA_winner,PA_played,G_score,G_winner,G_played,I_score,I_winner,I_played,E_score,E_winner,E_played,IR_score,IR_winner,IR_played,EV_score,EV_winner,EV_played,has_score,has_winner,Nr_players
80,2019-01-26,I+M,Qwixx,I72+M58,I,Colors,0,0,0,0,0,0,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72,1,1,0,0,0,0,0,0,0,0,0,1,1,2
81,2019-01-26,I+M,Qwixx,I77+M43,I,Random,0,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,1,1,0,0,0,0,0,0,0,0,0,1,1,2
82,2019-01-28,I+M,What's up,I11+M12,M,Normal,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,1,1,2
83,2019-01-28,I+M,Port Royal,I13+M8,I,Normal,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,1,1,2
84,2019-01-31,I+M,Kingdomino ,I54+M31,I,5x5,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,1,1,0,0,0,0,0,0,0,0,0,1,1,2
85,2019-01-31,I+M,Schotten Totten,I5+M4,I,Normal,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,1,2
86,2019-02-02,I+M+IR+DA,Qwixx,I76+M46+IR50+DA68,I,Normal,0,0,0,0,0,0,46,0,1,0,0,0,68,0,1,0,0,0,0,0,0,76,1,1,0,0,0,50,0,1,0,0,0,1,1,4
87,2019-02-02,I+M+IR+DA,Qwixx,I78+M84+IR67+DA67,M,Normal,0,0,0,0,0,0,84,1,1,0,0,0,67,0,1,0,0,0,0,0,0,78,0,1,0,0,0,67,0,1,0,0,0,1,1,4
88,2019-02-02,I+M+IR+DA,Kingdomino ,I43+M37+IR35+DA34,I,5x5,0,0,0,0,0,0,37,0,1,0,0,0,34,0,1,0,0,0,0,0,0,43,1,1,0,0,0,35,0,1,0,0,0,1,1,4
89,2019-02-03,M+C,Vergeten Stad,,M+C,Beginner,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
90,2019-02-04,I+M,Qwixx,I22+M67,M,Normal,0,0,0,0,0,0,67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,1,1,2
91,2019-02-04,I+M,Qwixx,I50+M69,M,Normal,0,0,0,0,0,0,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,0,0,0,0,0,0,0,0,1,1,2
92,2019-02-04,I+M,Qwixx,I35+M47,M,Normal,0,0,0,0,0,0,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,1,1,2
93,2019-02-07,I+M,Fox in the Forest,I19+M17,I,Normal,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,0,0,0,0,0,0,0,0,0,1,1,2
94,2019-02-08,I+M,Welcome to…,I83+M85,M,Normal,0,0,0,0,0,0,85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,83,0,1,0,0,0,0,0,0,0,0,0,1,1,2
95,2019-02-08,I+M,Welcome to…,I83+M85,M,Normal,0,0,0,0,0,0,85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,83,0,1,0,0,0,0,0,0,0,0,0,1,1,2
96,2019-02-09,I+M,Fox in the Forest,I14+M23,M,Normal,0,0,0,0,0,0,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,1,1,2
97,2019-02-09,I+M,Qwixx,I80+M46,I,Normal,0,0,0,0,0,0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80,1,1,0,0,0,0,0,0,0,0,0,1,1,2
98,2019-02-14,I+M,Qwixx,I82+M71,I,Normal,0,0,0,0,0,0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82,1,1,0,0,0,0,0,0,0,0,0,1,1,2
99,2019-02-14,I+M,Qwixx,I54+M77,M,Normal,0,0,0,0,0,0,77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,54,0,1,0,0,0,0,0,0,0,0,0,1,1,2
100,2019-02-14,I+M,Qwixx,I114+M84,I,Normal,0,0,0,0,0,0,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,114,1,1,0,0,0,0,0,0,0,0,0,1,1,2
101,2019-02-15,I+M,Welcome to…,I60+M69,M,Normal,0,0,0,0,0,0,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,1,1,2
102,2019-02-15,I+M,Qwixx,I127+M58,I,Normal,0,0,0,0,0,0,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127,1,1,0,0,0,0,0,0,0,0,0,1,1,2
103,2019-02-17,I+M,Qwixx,I81+M66,I,Normal,0,0,0,0,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81,1,1,0,0,0,0,0,0,0,0,0,1,1,2
104,2019-02-17,I+M,Qwixx,I118+M132,M,Normal,0,0,0,0,0,0,132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,118,0,1,0,0,0,0,0,0,0,0,0,1,1,2
105,2019-02-17,I+M,Qwixx,I65+M21,I,Normal,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,0,0,0,0,0,0,0,0,0,1,1,2
106,2019-02-24,I+M,Schotten Totten,I3+M5,M,Normal,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,2
107,2019-02-24,I+M,Schotten Totten,I4+M2,I,Normal,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,1,2
108,2019-02-24,I+M,Jaipur,I75+M96,M,Normal,0,0,0,0,0,0,96,1,1,0,0,0,0,0,0,0,0,0,0,0,0,75,0,1,0,0,0,0,0,0,0,0,0,1,1,2
109,2019-02-24,I+M,Jaipur,I90+M65,I,Normal,0,0,0,0,0,0,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,1,1,0,0,0,0,0,0,0,0,0,1,1,2
110,2019-02-24,I+M,Jaipur,I108+M69,I,Normal,0,0,0,0,0,0,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108,1,1,0,0,0,0,0,0,0,0,0,1,1,2
111,2019-03-15,I+M,Schotten Totten,I6+M3,I,Normal,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,1,1,2
112,2019-03-15,I+M,Schotten Totten,I5+M4,I,Normal,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,1,2
113,2019-03-01,I+M+IR+DA,Qwixx,I87+M77+IR97+DA76,IR,Normal,0,0,0,0,0,0,77,0,1,0,0,0,76,0,1,0,0,0,0,0,0,87,0,1,0,0,0,97,1,1,0,0,0,1,1,4
114,2019-03-01,I+M+IR+DA,Qwixx,I94+M59+IR54+DA40,I,Normal,0,0,0,0,0,0,59,0,1,0,0,0,40,0,1,0,0,0,0,0,0,94,1,1,0,0,0,54,0,1,0,0,0,1,1,4
115,2019-03-01,I+M+IR+DA,Qwixx,I65+M65+IR40+DA62,M,Normal,0,0,0,0,0,0,65,1,1,0,0,0,62,0,1,0,0,0,0,0,0,65,0,1,0,0,0,40,0,1,0,0,0,1,1,4
116,2019-03-31,I+M+E+G,Qwixx,I172+M308+E253+G290,M,Big,0,0,0,0,0,0,308,1,1,0,0,0,0,0,0,0,0,0,290,0,1,172,0,1,253,0,1,0,0,0,0,0,0,1,1,4
117,2019-04-12,I+M+IR+DA,Verboden Eiland,,I+M+IR+DA,Beginner,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,4
118,2019-04-12,I+M+IR+DA,Welcome to…,I57+M84+IR72+DA86,DA,Normal,0,0,0,0,0,0,84,0,1,0,0,0,86,1,1,0,0,0,0,0,0,57,0,1,0,0,0,72,0,1,0,0,0,1,1,4
119,2019-04-13,I+M,Fox in the Forest,I21+M16,I,Normal,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,0,0,0,0,0,1,1,2
120,2019-04-13,I+M,Qwixx,I59+M60,M,Normal,0,0,0,0,0,0,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,1,1,2
121,2019-04-14,I+M,Kingdomino ,I36+M30,I,5x5,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,1,1,2
122,2019-04-14,I+M,Qwixx,I54+M46,I,Normal,0,0,0,0,0,0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,1,1,0,0,0,0,0,0,0,0,0,1,1,2
123,2019-04-16,I+M,Raptor,I3+M0,I,Normal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,2
124,2019-04-22,I+M,Raptor,I3+M0,I,Normal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,2
